Request ID,Date,Lumen URL,Copyright owner ID,Copyright owner name,Reporting organization ID,Reporting organization name,URLs removed,URLs for which we took no action,URLs pending review,From Abuser
3058815,2016-01-26T11:06:03Z,http://lumendatabase.org/notices/11759011,54113,Thieme Publishers Stuttgart,9911,Link-Busters.com,29,6,0,false
1034818,2014-02-21T10:57:27Z,http://www.chillingeffects.org/notice.cgi?sID=1509010,48222,Native State Records,4300,RipBlock Anti Piracy,3,0,0,false
3706048,2016-07-26T01:40:01Z,https://lumendatabase.org/notices/12714287,71414,Underwriters Laboratories,13802,Digimarc,70,0,0,false
1544747,2014-10-07T17:33:06Z,http://www.chillingeffects.org/notices/10003333,29483,MVL Film Finance LLC,7667,Walt Disney Company,3,0,0,false
3846570,2016-09-05T11:34:45Z,https://lumendatabase.org/notices/12970530,153060,APDIF do Brasil Member Companies,18634,APDIF do Brasil,7424,0,0,false
984389,2014-01-24T16:08:31Z,http://www.chillingeffects.org/notice.cgi?sID=1449081,56239,"Cocobolo Software, LLC",34335,"Cocobolo Software, LLC",5,2,0,false
558623,2013-04-08T13:03:28Z,http://www.chillingeffects.org/notice.cgi?sID=883713,22225,Fox,10070,Fox Group Legal,6425,3575,0,false
3167282,2016-02-25T11:22:12Z,http://lumendatabase.org/notices/11882144,37534,Metropolitan,42234,rivendell,9378,17,0,false
2947291,2015-12-24T13:53:20Z,http://lumendatabase.org/notices/11640701,161082,موقع اجتماعي,130988,موقع اجتماعي,0,1,0,false
419026,2012-11-03T14:13:48Z,http://www.chillingeffects.org/notice.cgi?sID=666505,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,19,0,0,false
3873408,2016-09-16T02:07:08Z,https://lumendatabase.org/notices/13016953,27339,Frontiers Records,7801,MUSO.com Anti-piracy,1862,15,0,false
891282,2013-11-26T17:07:23Z,http://www.chillingeffects.org/notice.cgi?sID=1328547,37033,Southern Fried Records,11836,AudioLock.NET,3,0,0,false
3752268,2016-08-09T07:03:53Z,https://lumendatabase.org/notices/12829420,46936,A24 Films,199,MarkMonitor AntiPiracy,143,135,0,false
3783008,2016-08-16T14:42:42Z,https://lumendatabase.org/notices/12870526,49138,Loopmasters,9911,Link-Busters.com,69,63,0,false
497148,2013-02-06T14:51:28Z,http://www.chillingeffects.org/notice.cgi?sID=793117,42344,舟川尚輝,8719,,15,0,0,false
3131537,2016-02-16T01:11:20Z,http://lumendatabase.org/notices/11843789,61182,Essential Distribution,7801,MUSO.com Anti-piracy,973,19,0,false
3882411,2016-09-18T03:15:16Z,https://lumendatabase.org/notices/13031229,162161,Lillian Moore,136373,Mermaid Studios,6,0,0,false
3030799,2016-01-19T13:15:29Z,http://lumendatabase.org/notices/11733401,53912,TBA AG  Phonag Records AG,9911,Link-Busters.com,39,0,0,false
367121,2012-10-03T15:09:01Z,http://www.chillingeffects.org/notice.cgi?sID=604536,36147,GGCash,787,Degban Ltd,2,0,0,false
166320,2012-03-13T17:43:53Z,http://www.chillingeffects.org/notice.cgi?sID=242577,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,2,0,false
3408891,2016-05-02T17:12:23Z,http://lumendatabase.org/notices/12177239,151706,Macphun,44625,,17,0,0,false
171384,2012-05-24T21:19:25Z,http://www.chillingeffects.org/notice.cgi?sID=362782,36303,UNIVERSAL MUSIC GROUP,1847,BPI,111,0,0,false
2205655,2015-05-15T10:44:24Z,http://www.chillingeffects.org/notices/10772529,72718,Armada Music Label,11836,AudioLock.NET,41,0,0,false
1455359,2014-09-07T12:53:05Z,http://www.chillingeffects.org/notice.cgi?sID=2025442,68854,"Geego systems, Inc.",45784,"Geego systems, Inc.",0,3,0,false
1284535,2014-07-04T01:26:00Z,http://www.chillingeffects.org/notice.cgi?sID=1824474,34771,Claudia Gray,7801,MUSO.com Anti-piracy,18,0,0,false
689151,2013-07-24T13:52:02Z,http://www.chillingeffects.org/notice.cgi?sID=1077245,26705,"RIAA member companies (EMI Music North America, Sony Music Entertainment, Universal Music Group, Warner Music Group and their associated record labels)",1594,"Recording Industry Association of America, Inc.",5564,61,0,false
1688060,2014-11-28T04:47:22Z,http://www.chillingeffects.org/notices/10203171,37072,Swishcraft Music,11836,AudioLock.NET,2,0,0,false
2313680,2015-06-23T09:08:44Z,http://www.chillingeffects.org/notices/10891995,44074,Columbia University Press,13802,Digimarc,4,0,0,false
2723055,2015-10-22T08:51:02Z,http://www.chillingeffects.org/notices/11343231,78025,"La Femme Boutique, Inc.",51966,Counterfeit.Technology,10,0,0,false
3867467,2016-09-13T07:07:50Z,https://lumendatabase.org/notices/13001815,22611,"Dreamroom Productions, Inc.",44572,"Skywalker Digital, Ltd.",10015,292,0,false
19183,2012-01-15T08:47:28Z,http://www.chillingeffects.org/notice.cgi?sID=184024,37331,ワールドパセオ,2782,ワールドパセオ,1,0,0,false
2512751,2015-08-23T02:11:05Z,http://www.chillingeffects.org/notices/11111918,67118,Outburst Records,11836,AudioLock.NET,3,0,0,false
358435,2012-09-29T14:36:07Z,http://www.chillingeffects.org/notice.cgi?sID=595173,33100,SONY MUSIC ENTERTAINMENT,1847,BPI (British Recorded Music Industry) Ltd,18,7,0,false
3780125,2016-08-14T19:31:24Z,https://lumendatabase.org/notices/12862371,76274,NUCLEAR BLAST RECORDS,11836,AudioLock.NET,21,1,0,false
1723560,2014-12-10T05:32:01Z,http://www.chillingeffects.org/notices/10238875,26935,Blue Blood,224,Blue Blood,367,19,0,false
3812870,2016-08-25T10:25:03Z,https://lumendatabase.org/notices/12920511,170716,IT Governance Publishing,199,MarkMonitor AntiPiracy,11,0,0,false
1151055,2014-04-24T02:47:57Z,http://www.chillingeffects.org/notice.cgi?sID=1655667,58476,Electrocity,11836,AudioLock.NET,3,0,0,false
1682597,2014-11-25T19:01:03Z,http://www.chillingeffects.org/notices/10196725,70158,MG Premium Ltd,787,Degban,17199,391,0,false
174557,2012-05-27T22:51:50Z,http://www.chillingeffects.org/notice.cgi?sID=367427,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,0,0,false
1961339,2015-02-28T13:30:35Z,http://www.chillingeffects.org/notices/10506685,24280,VivThomas.com-Video Lda.,787,Degban,764,0,0,false
1731220,2014-12-12T13:02:57Z,http://www.chillingeffects.org/notices/10244854,65714,Penguin US,28460,Digimarc,1,12,0,false
1010807,2014-02-09T09:43:42Z,http://www.chillingeffects.org/notice.cgi?sID=1481781,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,584,59,0,false
2715385,2015-10-19T13:50:57Z,http://www.chillingeffects.org/notices/11332421,51454,Virtual Label LLC,7801,MUSO.com Anti-piracy,522,5,0,false
2298048,2015-06-17T13:08:13Z,http://www.chillingeffects.org/notices/10872274,29344,OWSLA,11836,AudioLock.NET,11,0,0,false
2392731,2015-07-17T16:35:44Z,http://www.chillingeffects.org/notices/10977024,68340,Comade Music,40594,Total Wipes Music Group,5,1,0,false
841796,2013-10-27T16:15:32Z,http://www.chillingeffects.org/notice.cgi?sID=1266893,41302,Hyperdub,11836,AudioLock.NET,60,0,0,false
1928484,2015-02-19T13:40:16Z,http://www.chillingeffects.org/notices/10471235,26320,Cr2 Records Ltd,11836,AudioLock.NET,60,4,0,false
1021375,2014-02-15T08:29:58Z,http://www.chillingeffects.org/notice.cgi?sID=1495450,26705,"RIAA member companies (EMI Music North America, Sony Music Entertainment, Universal Music Group, Warner Music Group and their associated record labels)",1594,"Recording Industry Association of America, Inc.",1177,9,0,false
1246859,2014-06-14T12:52:04Z,http://www.chillingeffects.org/notice.cgi?sID=1776237,34873,Entertainment One,7801,MUSO.com Anti-piracy,36,0,0,false
3326614,2016-04-10T09:29:52Z,http://lumendatabase.org/notices/12066164,22967,Armada Music,11836,AudioLock.NET,83,3,0,false
3909060,2016-09-27T04:31:07Z,https://lumendatabase.org/notices/13079932,34873,Entertainment One,7801,MUSO.com Anti-piracy,19,4,0,false
